Fecha	PAH
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	19.00
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	             NaN
1.84E+03	             NaN
1.85E+03	6.00
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	             NaN
1.85E+03	1.00
1.85E+03	             NaN
1.86E+03	             NaN
1.86E+03	             NaN
1.86E+03	             NaN
1.86E+03	             NaN
1.86E+03	             NaN
1.90E+03	             NaN
1.90E+03	9.00
1.90E+03	             NaN
1.90E+03	             NaN
1.90E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	4.00
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.91E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	1.00
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.92E+03	             NaN
1.93E+03	3.00
1.93E+03	             NaN
1.93E+03	             NaN
1.93E+03	             NaN
